0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:49:50 +0530] "GET /apidirectory/admin/addCategory.jsp HTTP/1.1" 200 21668
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:49:50 +0530] "GET /apidirectory/admin/adminResources/css/style.css HTTP/1.1" 200 879837
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:49:50 +0530] "GET /apidirectory/admin/adminResources/js/form-validation.js HTTP/1.1" 200 3146
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:49:50 +0530] "GET /apidirectory/admin/adminResources/js/bt-maxLength.js HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:49:50 +0530] "GET /apidirectory/admin/adminResources/imag/face5.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:49:50 +0530] "GET /apidirectory/admin/adminResources/fonts/Roboto-Regular.woff2 HTTP/1.1" 200 65916
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:49:50 +0530] "GET /apidirectory/admin/adminResources/fonts/Roboto-Medium.woff2 HTTP/1.1" 200 66792
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:49:52 +0530] "GET /apidirectory/admin/viewCategory.jsp HTTP/1.1" 200 21639
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:49:52 +0530] "GET /apidirectory/admin/adminResources/imag/face5.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:49:52 +0530] "GET /apidirectory/admin/adminResources/js/data-table.js HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:49:52 +0530] "GET /apidirectory/admin/adminResources/fonts/Roboto-Light.woff2 HTTP/1.1" 200 65512
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:50:23 +0530] "GET /apidirectory/admin/addCategory.jsp HTTP/1.1" 200 21668
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:50:23 +0530] "GET /apidirectory/admin/adminResources/imag/face5.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:50:26 +0530] "GET /apidirectory/admin/viewCategory.jsp HTTP/1.1" 200 21639
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:50:26 +0530] "GET /apidirectory/admin/adminResources/imag/face5.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:50:57 +0530] "GET /apidirectory/admin/pages/forms/text_editor.html HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:50:57 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:51:05 +0530] "GET /apidirectory/admin/pages/forms/basic_elements.html HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:51:09 +0530] "GET /apidirectory/admin/pages/forms/advanced_elements.html HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:51:16 +0530] "GET /apidirectory/admin/addCategory.jsp HTTP/1.1" 200 21668
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:51:16 +0530] "GET /apidirectory/admin/adminResources/imag/face5.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:51:20 +0530] "GET /apidirectory/admin/pages/ui-features/context-menu.html HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:51:25 +0530] "GET /apidirectory/admin/index.html HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:51:53 +0530] "GET /apidirectory/admin/pages/ui-features/loaders.html HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:52:03 +0530] "GET /apidirectory/admin/pages/samples/login.html HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:52:32 +0530] "GET /apidirectory/admin/menu.jsp HTTP/1.1" 200 12161
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:53:23 +0530] "GET /apidirectory/admin/pages/widgets/widgets.html HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:53:30 +0530] "GET /apidirectory/admin/pages/forms/basic_elements.html HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:57:59 +0530] "GET /apidirectory/admin/validation.jsp HTTP/1.1" 200 25597
0:0:0:0:0:0:0:1 - - [28/Feb/2022:10:57:59 +0530] "GET /apidirectory/admin/adminResources/imag/face5.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:16:13 +0530] "GET /apidirectory/admin/register.jsp HTTP/1.1" 200 3604
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:16:13 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff2 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:16:13 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff2 HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:16:13 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff2 HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:16:13 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:16:13 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:16:13 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:16:13 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.ttf HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:16:13 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.ttf HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:16:13 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.ttf HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:01 +0530] "GET /apidirectory/admin/register.jsp HTTP/1.1" 200 3597
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:01 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff2 HTTP/1.1" 404 1122
